legislator,party,dem_alignment,n_party_split_votes,terms
ACKERT,R,0.152,335,23-24+25-26
ALLIE-BRENNAN,D,0.904,323,23-24+25-26
ANDERSON,R,0.07,330,23-24+25-26
ANISKOVICH,R,0.131,327,23-24+25-26
ARNONE,D,0.986,147,23-24
ARZENO,D,0.927,330,23-24+25-26
BAKER,D,0.969,324,23-24+25-26
BARRY,D,0.799,328,23-24+25-26
BELTON,D,0.988,327,23-24+25-26
BERGER-GIRVALO,D,0.982,329,23-24+25-26
BIGGINS,D,0.989,177,25-26
BLUMENTHAL,D,1.0,335,23-24+25-26
BOLINSKY,R,0.087,309,23-24+25-26
BORER,D,0.938,97,23-24
BOYD,D,0.814,311,23-24+25-26
BRONKO,R,0.078,335,23-24+25-26
"BROWN, K.",D,0.991,335,23-24+25-26
"BROWN, M.",D,0.975,314,23-24+25-26
BUCHSBAUM,R,0.104,173,25-26
BUCKBEE,R,0.099,335,23-24+25-26
BUMGARDNER,D,0.979,335,23-24+25-26
BUTLER,D,0.944,319,23-24+25-26
"CA NDELORA, V.",UNK,,2,23-24
CALLAHAN,R,0.085,330,23-24+25-26
"CANDELARIA, J.",D,0.956,321,23-24+25-26
"CANDELORA, V.",R,0.058,326,23-24+25-26
CANINO,R,0.034,177,25-26
CARNEY,R,0.217,332,23-24+25-26
CARPINO,R,0.143,335,23-24+25-26
CASE,R,0.03,335,23-24+25-26
CHAFEE,D,0.963,297,23-24+25-26
CHALESKI,R,0.266,158,23-24
CHEESEMAN,R,0.241,158,23-24
COLLINS MAIN,D,0.994,156,25-26
COMEY,D,0.962,315,23-24+25-26
CONCEPCION,D,0.985,335,23-24+25-26
CONLEY,D,0.975,158,23-24
CONSTANTINE,D,0.955,176,25-26
COOK,D,0.88,158,23-24
COOLEY,R,0.179,156,23-24
COURPAS,R,0.091,176,25-26
CURREY,D,0.994,155,23-24
D'AGOSTINO,D,0.968,154,23-24
DANCHO,R,0.108,157,23-24
DATHAN,D,0.958,334,23-24+25-26
DAUPHINAIS,R,0.018,334,23-24+25-26
DECAPRIO,R,0.036,333,23-24+25-26
DEFRONZO,D,0.971,175,25-26
DELANY,D,0.997,298,23-24+25-26
DELNICKI,R,0.282,333,23-24+25-26
DEMICCO,D,0.994,331,23-24+25-26
DENNING,D,0.959,148,23-24
DIGIOVANCARLO,D,0.789,308,23-24+25-26
DILLON,D,0.988,326,23-24+25-26
DOUCETTE,D,0.979,335,23-24+25-26
DUBITSKY,R,0.063,334,23-24+25-26
ELLIOTT,D,0.984,315,23-24+25-26
EXUM,D,0.997,324,23-24+25-26
FARRAR,D,0.991,332,23-24+25-26
FAZZINO,D,0.958,330,23-24+25-26
FELIPE,D,0.982,331,23-24+25-26
FERRARO,R,0.081,149,23-24
FIGUEROA,D,0.923,155,23-24
FISHBEIN,R,0.047,321,23-24+25-26
FONCELLO,R,0.066,331,23-24+25-26
FORTIER,D,0.982,332,23-24+25-26
FOSTER,D,0.931,333,23-24+25-26
GAIEWSKI,D,0.982,170,25-26
GARIBAY,D,0.988,334,23-24+25-26
GAUTHIER,D,0.994,177,25-26
GEE,D,0.991,325,23-24+25-26
GENGA,D,0.976,328,23-24+25-26
GIBSON,D,0.971,276,23-24+25-26
GILCHREST,D,0.997,319,23-24+25-26
GODFREY,D,0.964,329,23-24+25-26
GONZALEZ,D,0.844,315,23-24+25-26
GRESKO,D,0.958,335,23-24+25-26
GUCKER,D,0.972,177,25-26
HADDAD,D,0.991,335,23-24+25-26
HAINES,R,0.047,321,23-24+25-26
HALL,D,0.96,50,23-24
"HALL, C.",R,0.121,315,23-24+25-26
"HALL, J.",D,0.984,251,23-24+25-26
HARRISON,R,0.032,158,23-24
HAYES,R,0.035,142,23-24
HEFFERNAN,D,0.897,233,23-24+25-26
HORN,D,0.973,329,23-24+25-26
HOWARD,R,0.192,323,23-24+25-26
HOXHA,R,0.079,316,23-24+25-26
HUGHES,D,0.991,329,23-24+25-26
JACOBSON,D,0.989,177,25-26
JENSEN,R,0.034,177,25-26
"JOHNSON, D.",D,0.988,335,23-24+25-26
"JOHNSON, S.",D,0.967,330,23-24+25-26
KAVROS DEGRAW,D,0.979,327,23-24+25-26
KEITT,D,0.976,334,23-24+25-26
KENNEDY,R,0.15,333,23-24+25-26
KHAN,D,0.988,327,23-24+25-26
KHANNA,D,0.943,158,23-24
KLARIDES-DITRIA,R,0.096,335,23-24+25-26
LABRIOLA,R,0.111,135,23-24
LAMARK MUIR,D,0.989,177,25-26
LANOUE,R,0.061,330,23-24+25-26
LEEPER,D,0.958,334,23-24+25-26
LEMAR,D,0.976,330,23-24+25-26
LINEHAN,D,0.959,317,23-24+25-26
LUXENBERG,D,0.985,325,23-24+25-26
MARRA,R,0.146,335,23-24+25-26
"MARTINEZ, R.",D,0.977,176,25-26
MASTROFRANCESCO,R,0.012,322,23-24+25-26
"MCCAR TY, K.",R,,0,23-24
MCCARTHY VAHEY,D,0.979,328,23-24+25-26
MCCARTHYVAHEY,D,,0,23-24
MCCARTY,R,0.256,43,23-24
"MCCARTY, K.",R,0.407,113,23-24
MCGEE,D,0.965,317,23-24+25-26
"MCGORTY, B.",R,0.102,324,23-24+25-26
MENAPACE,D,0.994,177,25-26
MESKERS,D,0.866,335,23-24+25-26
MICHEL,D,0.981,154,23-24
MORRIN BELLO,D,0.997,327,23-24+25-26
MUSHINSKY,D,0.956,298,23-24+25-26
NAPOLI,D,0.925,332,23-24+25-26
NOLAN,D,0.97,331,23-24+25-26
NUCCIO,R,0.094,331,23-24+25-26
O'DEA,R,0.155,316,23-24+25-26
OSBORNE,D,0.946,331,23-24+25-26
PALM,D,0.994,158,23-24
PAOLILLO,D,0.985,333,23-24+25-26
PARIS,D,0.994,312,23-24+25-26
PARKER,D,0.988,332,23-24+25-26
PAVALOCK-D'AMATO,R,0.061,314,23-24+25-26
PEMBERTON,D,0.983,59,25-26
PERILLO,R,0.163,153,23-24+25-26
PISCOPO,R,0.015,335,23-24+25-26
PIZZUTO,R,0.042,332,23-24+25-26
POLLETTA,R,0.066,333,23-24+25-26
PORTER,D,0.967,152,23-24
POULOS,D,0.769,329,23-24+25-26
QUINN,D,0.937,335,23-24+25-26
RADER,D,0.991,327,23-24+25-26
REDDINGTON-HUGHES,R,0.015,335,23-24+25-26
REYES,D,0.875,303,23-24+25-26
RITTER,D,0.982,335,23-24+25-26
ROBERTS,D,0.985,334,23-24+25-26
ROCHELLE,D,0.979,326,23-24+25-26
ROJAS,D,0.997,335,23-24+25-26
ROMANO,R,0.043,161,25-26
ROSARIO,D,0.972,318,23-24+25-26
RUTIGLIANO,R,0.176,335,23-24+25-26
RYAN,D,0.988,243,23-24+25-26
"SANCHEZ, E.",D,0.985,325,23-24+25-26
"SANCHEZ, I.",D,0.983,59,25-26
"SANCHEZ, J.",D,0.975,325,23-24+25-26
"SANCHEZ, R.",D,0.948,252,23-24+25-26
SANTANELLA,D,0.89,172,25-26
SANTIAGO,D,0.961,335,23-24+25-26
SANTOS,D,0.969,326,23-24+25-26
SCOTT,R,0.091,320,23-24+25-26
SHAKE,D,0.983,177,25-26
SHANNON,D,0.994,177,25-26
SIMMS,D,0.973,292,23-24+25-26
SMITH,D,0.97,334,23-24+25-26
STAFSTROM,D,0.99,314,23-24+25-26
STEINBERG,D,0.956,321,23-24+25-26
STEWART,R,0.092,76,25-26
SWEET,D,0.994,177,25-26
TERCYAK,D,0.953,148,23-24
TURCO,D,0.982,335,23-24+25-26
VAIL,R,0.084,335,23-24+25-26
VEACH,R,0.003,289,23-24+25-26
WALKER,D,0.983,289,23-24+25-26
WEIR,R,0.03,335,23-24+25-26
WELANDER,D,0.969,320,23-24+25-26
WILLIAMS,UNK,,0,23-24
WILSON,D,0.985,334,23-24+25-26
WINTER,D,0.989,177,25-26
WOOD,D,0.866,314,23-24+25-26
YACCARINO,R,0.128,335,23-24+25-26
ZAWISTOWSKI,R,0.039,335,23-24+25-26
ZULLO,R,0.131,321,23-24+25-26
ZUPKUS,R,0.009,325,23-24+25-26
